row,order_number,serial_number,reason
41,4029,WS02249031598141,"Duplicate serial (same product, no update needed)"
42,4029,SYS1191161B9649,"Duplicate serial (same product, no update needed)"
43,4030,WS022490331598550,"Duplicate serial (same product, no update needed)"
44,4030,WS02259044074979,"Duplicate serial (same product, no update needed)"
45,4030,WS02259044074992,"Duplicate serial (same product, no update needed)"
46,4030,WS02259044074980,"Duplicate serial (same product, no update needed)"
47,4030,WS02259044074991,"Duplicate serial (same product, no update needed)"
48,4030,WS02259044074975,"Duplicate serial (same product, no update needed)"
49,4030,WS02259044074965,"Duplicate serial (same product, no update needed)"
50,4030,WS02259044074974,"Duplicate serial (same product, no update needed)"
51,4030,WS02259044074994,"Duplicate serial (same product, no update needed)"
52,4030,WS02259044072701,"Duplicate serial (same product, no update needed)"
53,4030,WS02259044072697,"Duplicate serial (same product, no update needed)"
54,4030,SYS119119126802,"Duplicate serial (same product, no update needed)"
55,4030,WS02249031598550,"Duplicate serial (same product, no update needed)"
56,4030,WS02259044074979,"Duplicate serial (same product, no update needed)"
57,4030,WS02259044074992,"Duplicate serial (same product, no update needed)"
58,4030,WS02259044074980,"Duplicate serial (same product, no update needed)"
59,4030,WS02259044074991,"Duplicate serial (same product, no update needed)"
60,4030,WS02259044074975,"Duplicate serial (same product, no update needed)"
61,4030,WS02259044074965,"Duplicate serial (same product, no update needed)"
62,4030,WS02259044074974,"Duplicate serial (same product, no update needed)"
63,4030,WS02259044074994,"Duplicate serial (same product, no update needed)"
64,4030,WS02259044072701,"Duplicate serial (same product, no update needed)"
65,4030,WS02259044072697,"Duplicate serial (same product, no update needed)"
66,4030,SYS119119126802,"Duplicate serial (same product, no update needed)"
67,4032,RSCB2M0040125126256,"Duplicate serial (same product, no update needed)"
68,4032,RSCB2M0040125126302,"Duplicate serial (same product, no update needed)"
69,4032,RSCB2M0040125126301,"Duplicate serial (same product, no update needed)"
70,4032,RSCB2M0040125126260,"Duplicate serial (same product, no update needed)"
71,4032,RSCB2M0040125126236,"Duplicate serial (same product, no update needed)"
72,4032,RSCB2M0040125126265,"Duplicate serial (same product, no update needed)"
73,4032,RSCB2M0040125126159,"Duplicate serial (same product, no update needed)"
74,4032,RSCB2M0040125126263,"Duplicate serial (same product, no update needed)"
75,4032,RSCB2M0040125126214,"Duplicate serial (same product, no update needed)"
76,4032,RSCB2M0040125126216,"Duplicate serial (same product, no update needed)"
77,4032,SYS5500W SYS119118129707,"Duplicate serial (same product, no update needed)"
78,4033,WS02259044074967,"Duplicate serial (same product, no update needed)"
79,4033,WS02259044074977,"Duplicate serial (same product, no update needed)"
80,4033,WS1224904203151,"Duplicate serial (same product, no update needed)"
81,4033,WS02259044074987,"Duplicate serial (same product, no update needed)"
82,4033,WS02259044074982,"Duplicate serial (same product, no update needed)"
83,4033,WS02259044074981,"Duplicate serial (same product, no update needed)"
84,4033,WS02259044074989,"Duplicate serial (same product, no update needed)"
85,4033,WS02259044074927,"Duplicate serial (same product, no update needed)"
86,4033,WS02259044074955,"Duplicate serial (same product, no update needed)"
87,4033,WS02259044074986,"Duplicate serial (same product, no update needed)"
88,4033,WS12249042343932,"Duplicate serial (same product, no update needed)"
89,4033,WS12249042403148,"Duplicate serial (same product, no update needed)"
90,4033,WS12249042343927,"Duplicate serial (same product, no update needed)"
91,4033,SYS11911SC23456,"Duplicate serial (same product, no update needed)"
92,4034,WS02259044074882,"Duplicate serial (same product, no update needed)"
93,4034,WS02259044074849,"Duplicate serial (same product, no update needed)"
94,4034,WS02259044074958,"Duplicate serial (same product, no update needed)"
95,4034,WS02259044074962,"Duplicate serial (same product, no update needed)"
96,4034,WS02259044074880,"Duplicate serial (same product, no update needed)"
97,4034,WS02259044074956,"Duplicate serial (same product, no update needed)"
98,4034,WS02259044074957,"Duplicate serial (same product, no update needed)"
99,4034,WS02259044074963,"Duplicate serial (same product, no update needed)"
100,4034,WS02259044074972,"Duplicate serial (same product, no update needed)"
101,4034,WS02259044074983,"Duplicate serial (same product, no update needed)"
102,4034,WS02259044074971,"Duplicate serial (same product, no update needed)"
103,4034,WS02259044074961,"Duplicate serial (same product, no update needed)"
104,4034,WS02259044074952,"Duplicate serial (same product, no update needed)"
105,4034,SYS11911SC23437,"Duplicate serial (same product, no update needed)"
106,4035,WS02259044072689,"Duplicate serial (same product, no update needed)"
107,4035,WS02259044072571,"Duplicate serial (same product, no update needed)"
108,4035,WS02259044072699,"Duplicate serial (same product, no update needed)"
109,4035,WS02259044072703,"Duplicate serial (same product, no update needed)"
110,4035,WS02259044072707,"Duplicate serial (same product, no update needed)"
111,4035,WS02259044072634,"Duplicate serial (same product, no update needed)"
112,4035,WS02259044072705,"Duplicate serial (same product, no update needed)"
113,4035,WS02259044072679,"Duplicate serial (same product, no update needed)"
114,4035,WS02259044072702,"Duplicate serial (same product, no update needed)"
115,4035,WS12249042343970,"Duplicate serial (same product, no update needed)"
116,4035,WS12249042343949,"Duplicate serial (same product, no update needed)"
117,4035,WS12249042343945,"Duplicate serial (same product, no update needed)"
118,4035,WS12249042343930,"Duplicate serial (same product, no update needed)"
119,4035,SYS11911SC24054,"Duplicate serial (same product, no update needed)"
120,4036,95409001-0125857141,"Duplicate serial (same product, no update needed)"
121,4036,95409001-0125853284,"Duplicate serial (same product, no update needed)"
122,4036,95409001-0125859353,"Duplicate serial (same product, no update needed)"
123,4036,95409001-0125853281,"Duplicate serial (same product, no update needed)"
124,4036,95409001-0125852337,"Duplicate serial (same product, no update needed)"
125,4036,95409001-0125859358,"Duplicate serial (same product, no update needed)"
126,4036,95409001-0125859338,"Duplicate serial (same product, no update needed)"
127,4036,95409001-0125853287,"Duplicate serial (same product, no update needed)"
128,4036,95409001-0125853292,"Duplicate serial (same product, no update needed)"
129,4036,95409001-0125854688,"Duplicate serial (same product, no update needed)"
130,4036,95409001-0125857118,"Duplicate serial (same product, no update needed)"
131,4036,95409001-0125853288,"Duplicate serial (same product, no update needed)"
132,4036,95409001-0125853293,"Duplicate serial (same product, no update needed)"
133,4036,95409001-0125853286,"Duplicate serial (same product, no update needed)"
134,4036,95409001-0125853294,"Duplicate serial (same product, no update needed)"
135,4036,95409001-0125853283,"Duplicate serial (same product, no update needed)"
136,4036,95409001-0125853295,"Duplicate serial (same product, no update needed)"
137,4036,95409001-0125853282,"Duplicate serial (same product, no update needed)"
138,4036,95409001-0125854703,"Duplicate serial (same product, no update needed)"
139,4036,95409001-0125859361,"Duplicate serial (same product, no update needed)"
140,4036,95409001-0125859337,"Duplicate serial (same product, no update needed)"
141,4036,95409001-0125859339,"Duplicate serial (same product, no update needed)"
142,4036,SYS11911SD23303,"Duplicate serial (same product, no update needed)"
143,4036,95409001-0125857141,"Duplicate serial (same product, no update needed)"
144,4036,95409001-0125853284,"Duplicate serial (same product, no update needed)"
145,4036,95409001-0125859353,"Duplicate serial (same product, no update needed)"
146,4036,95409001-0125853281,"Duplicate serial (same product, no update needed)"
147,4036,95409001-0125852337,"Duplicate serial (same product, no update needed)"
148,4036,95409001-0125859358,"Duplicate serial (same product, no update needed)"
149,4036,95409001-0125859338,"Duplicate serial (same product, no update needed)"
150,4036,95409001-0125853287,"Duplicate serial (same product, no update needed)"
151,4036,95409001-0125853292,"Duplicate serial (same product, no update needed)"
152,4036,95409001-0125854688,"Duplicate serial (same product, no update needed)"
153,4036,95409001-0125857118,"Duplicate serial (same product, no update needed)"
154,4036,95409001-0125853288,"Duplicate serial (same product, no update needed)"
155,4036,95409001-0125853293,"Duplicate serial (same product, no update needed)"
156,4036,95409001-0125853286,"Duplicate serial (same product, no update needed)"
157,4036,95409001-0125853294,"Duplicate serial (same product, no update needed)"
158,4036,95409001-0125853283,"Duplicate serial (same product, no update needed)"
159,4036,95409001-0125853295,"Duplicate serial (same product, no update needed)"
160,4036,95409001-0125853282,"Duplicate serial (same product, no update needed)"
161,4036,95409001-0125854703,"Duplicate serial (same product, no update needed)"
162,4036,95409001-0125859361,"Duplicate serial (same product, no update needed)"
163,4036,95409001-0125859337,"Duplicate serial (same product, no update needed)"
164,4036,95409001-0125859339,"Duplicate serial (same product, no update needed)"
165,4036,SYS11911SD23303,"Duplicate serial (same product, no update needed)"
166,4037,95409001-0125859355,"Duplicate serial (same product, no update needed)"
167,4037,95409001-0125859386,"Duplicate serial (same product, no update needed)"
168,4037,95409001-0125859388,"Duplicate serial (same product, no update needed)"
169,4037,95409001-0125859392,"Duplicate serial (same product, no update needed)"
170,4037,95409001-0125859380,"Duplicate serial (same product, no update needed)"
171,4037,95409001-0125859371,"Duplicate serial (same product, no update needed)"
172,4037,95409001-0125859382,"Duplicate serial (same product, no update needed)"
173,4037,95409001-0125859378,"Duplicate serial (same product, no update needed)"
174,4037,95409001-0125859350,"Duplicate serial (same product, no update needed)"
175,4037,95409001-0125859381,"Duplicate serial (same product, no update needed)"
176,4037,95409001-0125859384,"Duplicate serial (same product, no update needed)"
177,4037,95409001-0125859374,"Duplicate serial (same product, no update needed)"
178,4037,95409001-0125859370,"Duplicate serial (same product, no update needed)"
179,4037,95409001-0125859375,"Duplicate serial (same product, no update needed)"
180,4037,95409001-0125859366,"Duplicate serial (same product, no update needed)"
181,4037,95409001-0125859365,"Duplicate serial (same product, no update needed)"
182,4037,95409001-0125859373,"Duplicate serial (same product, no update needed)"
183,4037,95409001-0125859383,"Duplicate serial (same product, no update needed)"
184,4037,95409001-0125859376,"Duplicate serial (same product, no update needed)"
185,4037,95409001-0125859377,"Duplicate serial (same product, no update needed)"
186,4037,95409001-0125859368,"Duplicate serial (same product, no update needed)"
187,4037,95409001-0125859367,"Duplicate serial (same product, no update needed)"
188,4037,SYS11911SD23389,"Duplicate serial (same product, no update needed)"
189,4038,95409001-0125856908,"Duplicate serial (same product, no update needed)"
190,4038,95409001-0125856901,"Duplicate serial (same product, no update needed)"
191,4038,95409001-0125856911,"Duplicate serial (same product, no update needed)"
192,4038,95409001-0125856898,"Duplicate serial (same product, no update needed)"
193,4038,95409001-0125856912,"Duplicate serial (same product, no update needed)"
194,4038,95409001-0125856897,"Duplicate serial (same product, no update needed)"
195,4038,95409001-0125856913,"Duplicate serial (same product, no update needed)"
196,4038,95409001-0125856895,"Duplicate serial (same product, no update needed)"
197,4038,95409001-0125856916,"Duplicate serial (same product, no update needed)"
198,4038,95409001-0125856896,"Duplicate serial (same product, no update needed)"
199,4038,95409001-0125856306,"Duplicate serial (same product, no update needed)"
200,4038,95409001-0125856887,"Duplicate serial (same product, no update needed)"
201,4038,95409001-0125856360,"Duplicate serial (same product, no update needed)"
202,4038,95409001-0125856893,"Duplicate serial (same product, no update needed)"
203,4038,95409001-0125856902,"Duplicate serial (same product, no update needed)"
204,4038,95409001-0125856876,"Duplicate serial (same product, no update needed)"
205,4038,95409001-0125856903,"Duplicate serial (same product, no update needed)"
206,4038,95409001-0125856377,"Duplicate serial (same product, no update needed)"
207,4038,95409001-0125856904,"Duplicate serial (same product, no update needed)"
208,4038,95409001-0125856880,"Duplicate serial (same product, no update needed)"
209,4038,95409001-0125856905,"Duplicate serial (same product, no update needed)"
210,4038,95409001-0125856878,"Duplicate serial (same product, no update needed)"
211,4038,95409001-0125856906,"Duplicate serial (same product, no update needed)"
212,4038,95409001-0125856884,"Duplicate serial (same product, no update needed)"
213,4038,95409001-0125856907,"Duplicate serial (same product, no update needed)"
214,4038,95409001-0125856879,"Duplicate serial (same product, no update needed)"
215,4038,95409001-0125856881,"Duplicate serial (same product, no update needed)"
216,4038,95409001-0125856873,"Duplicate serial (same product, no update needed)"
217,4038,SYS11911SF22319,"Duplicate serial (same product, no update needed)"
218,4039,MS2301152B2012,"Duplicate serial (same product, no update needed)"
219,4039,MS2301142A1351,"Duplicate serial (same product, no update needed)"
220,4039,MS2301152B2053,"Duplicate serial (same product, no update needed)"
221,4039,MS2301152B1089,"Duplicate serial (same product, no update needed)"
222,4039,MS2301142A3110,"Duplicate serial (same product, no update needed)"
223,4039,MS2301152B1953,"Duplicate serial (same product, no update needed)"
224,4039,MS2301152B1972,"Duplicate serial (same product, no update needed)"
225,4039,MS2301132B0870,"Duplicate serial (same product, no update needed)"
226,4039,MS2301152B0754,"Duplicate serial (same product, no update needed)"
227,4039,MS2301152B2012,"Duplicate serial (same product, no update needed)"
228,4039,MS2301142A1351,"Duplicate serial (same product, no update needed)"
229,4039,MS2301152B2053,"Duplicate serial (same product, no update needed)"
230,4039,MS2301152B1089,"Duplicate serial (same product, no update needed)"
231,4039,MS2301142A3110,"Duplicate serial (same product, no update needed)"
232,4039,MS2301152B1953,"Duplicate serial (same product, no update needed)"
233,4039,MS2301152B1972,"Duplicate serial (same product, no update needed)"
234,4039,MS2301132B0870,"Duplicate serial (same product, no update needed)"
235,4039,MS2301152B0754,"Duplicate serial (same product, no update needed)"
236,4039,SYS119118125277,"Duplicate serial (same product, no update needed)"
237,4042,RSEPTG5131224239205,"Duplicate serial (same product, no update needed)"
238,4042,RSEPTG5131224239601,"Duplicate serial (same product, no update needed)"
239,4042,RSEPTG5131224239603,"Duplicate serial (same product, no update needed)"
240,4042,RSEPTG5131224239157,"Duplicate serial (same product, no update needed)"
241,4042,RSEPTG5131224239985,"Duplicate serial (same product, no update needed)"
242,4042,RSEPTG5131224239147,"Duplicate serial (same product, no update needed)"
243,4042,RSEPTG5131224239805,"Duplicate serial (same product, no update needed)"
244,4042,RSEPTG5131224239719,"Duplicate serial (same product, no update needed)"
245,4042,RSEPTG5131224239785,"Duplicate serial (same product, no update needed)"
246,4042,RSEPTG5131224239301,"Duplicate serial (same product, no update needed)"
247,4042,RSEPTG5131224239842,"Duplicate serial (same product, no update needed)"
248,4042,RSEPTG5131224240030,"Duplicate serial (same product, no update needed)"
249,4042,RSEPTG5131224240080,"Duplicate serial (same product, no update needed)"
250,4042,RSEPTG5131224239920,"Duplicate serial (same product, no update needed)"
251,4042,RSEPTG5131224240119,"Duplicate serial (same product, no update needed)"
252,4042,RSEPTG5131224240128,"Duplicate serial (same product, no update needed)"
253,4042,RSEPTG5131224240314,"Duplicate serial (same product, no update needed)"
254,4042,RSEPTG5131224240060,"Duplicate serial (same product, no update needed)"
255,4042,RSEPTG5131224239972,"Duplicate serial (same product, no update needed)"
256,4042,RSEPTG5131224237487,"Duplicate serial (same product, no update needed)"
257,4042,RSEPTG5131224239803,"Duplicate serial (same product, no update needed)"
258,4042,RSEPTG5131224239765,"Duplicate serial (same product, no update needed)"
259,4042,RSEPTG5131224240051,"Duplicate serial (same product, no update needed)"
260,4042,RSEPTG5131224239807,"Duplicate serial (same product, no update needed)"
261,4042,RSEPTG5131224240533,"Duplicate serial (same product, no update needed)"
262,4042,RSEPTG5131224240273,"Duplicate serial (same product, no update needed)"
263,4042,A03E1530441D035,"Duplicate serial (same product, no update needed)"
271,4076,SYS119118127517,"Duplicate serial (same product, no update needed)"
272,4083,SYS1191161C6561,"Duplicate serial (same product, no update needed)"
273,4083,(empty),Empty serial_number
274,4083,(empty),Empty serial_number
275,4083,(empty),Empty serial_number
276,4083,(empty),Empty serial_number
277,4083,(empty),Empty serial_number
278,4083,(empty),Empty serial_number
279,4083,(empty),Empty serial_number
280,4083,(empty),Empty serial_number
281,4083,(empty),Empty serial_number
282,4083,(empty),Empty serial_number
283,4083,(empty),Empty serial_number
284,4083,(empty),Empty serial_number
285,4083,(empty),Empty serial_number
286,4084,(empty),Empty serial_number
287,4084,(empty),Empty serial_number
288,4084,(empty),Empty serial_number
289,4084,(empty),Empty serial_number
290,4084,(empty),Empty serial_number
291,4084,(empty),Empty serial_number
292,4084,AS241241C1041,"Duplicate serial (same product, no update needed)"
293,4084,AS2412021C4402,"Duplicate serial (same product, no update needed)"
294,4084,AS2412021C4306,"Duplicate serial (same product, no update needed)"
295,4084,AS2412021C4373,"Duplicate serial (same product, no update needed)"
296,4084,AS24120221C4351,"Duplicate serial (same product, no update needed)"
297,4084,AS2412041C1026,"Duplicate serial (same product, no update needed)"
298,4084,A0VS332048DB194,"Duplicate serial (same product, no update needed)"
299,4084,AS2412041C1026,"Duplicate serial (same product, no update needed)"
300,4084,AS2412041C1041,"Duplicate serial (same product, no update needed)"
301,4084,AS2412021C4306,"Duplicate serial (same product, no update needed)"
302,4084,AS2412021C4373,"Duplicate serial (same product, no update needed)"
303,4084,AS2412021C4402,"Duplicate serial (same product, no update needed)"
304,4084,AS2412021C4351,"Duplicate serial (same product, no update needed)"
305,4084,SYS11911HK69TK,"Duplicate serial (same product, no update needed)"
306,4085,MS2411241C4073,"Duplicate serial (same product, no update needed)"
307,4085,MS2411241C4416,"Duplicate serial (same product, no update needed)"
308,4085,MS2411241C4428,"Duplicate serial (same product, no update needed)"
309,4085,MS2411241C3390,"Duplicate serial (same product, no update needed)"
310,4085,MS2411241C4374,"Duplicate serial (same product, no update needed)"
311,4085,MS2411241C4189,"Duplicate serial (same product, no update needed)"
312,4085,SYS1191161A6289,"Duplicate serial (same product, no update needed)"
313,4104,MS2411212A3746,"Duplicate serial (same product, no update needed)"
314,4104,MS2411212A3181,"Duplicate serial (same product, no update needed)"
315,4104,MS2411212A3149,"Duplicate serial (same product, no update needed)"
316,4104,MS2411212A3723,"Duplicate serial (same product, no update needed)"
317,4104,MS2411212A3725,"Duplicate serial (same product, no update needed)"
318,4104,MS2411212A3707,"Duplicate serial (same product, no update needed)"
319,4104,SYS11911HK6E4T,"Duplicate serial (same product, no update needed)"
320,4108,RSBB2M0280125010672,"Duplicate serial (same product, no update needed)"
321,4108,RSCB1M0301024101120,"Duplicate serial (same product, no update needed)"
322,4108,RSCB1M0301024101122,"Duplicate serial (same product, no update needed)"
323,4108,RSBB2M0290425041096,"Duplicate serial (same product, no update needed)"
324,4108,RSBB2M0110425036282,"Duplicate serial (same product, no update needed)"
325,4108,RSCB1M0301024101123,"Duplicate serial (same product, no update needed)"
326,4108,SYS119116178321,"Duplicate serial (same product, no update needed)"
327,4120,MS2411241C4386,"Duplicate serial (same product, no update needed)"
328,4120,MS2411241C4440,"Duplicate serial (same product, no update needed)"
329,4120,MS2411241C3369,"Duplicate serial (same product, no update needed)"
330,4120,MS2411241C4244,"Duplicate serial (same product, no update needed)"
331,4120,MS2411241C4211,"Duplicate serial (same product, no update needed)"
332,4120,MS2411241C4411,"Duplicate serial (same product, no update needed)"
333,4120,SYS1191161C5115,"Duplicate serial (same product, no update needed)"
334,4122,MS2411241C4438,"Duplicate serial (same product, no update needed)"
335,4122,(empty),Empty serial_number
336,4122,MS2411241C4501,"Duplicate serial (same product, no update needed)"
337,4122,MS2411192C5279,"Duplicate serial (same product, no update needed)"
338,4122,MS2411192C5284,"Duplicate serial (same product, no update needed)"
339,4122,MS2411192C5176,"Duplicate serial (same product, no update needed)"
340,4122,MS2411192C5287,"Duplicate serial (same product, no update needed)"
341,4122,SYS1191161C2871,"Duplicate serial (same product, no update needed)"
342,4126,RSCB2M0090724097876,"Duplicate serial (same product, no update needed)"
343,4126,RSCB2M0310824109083,"Duplicate serial (same product, no update needed)"
344,4126,RSCB2M0310824109079,"Duplicate serial (same product, no update needed)"
345,4126,RSCB2M0310824108999,"Duplicate serial (same product, no update needed)"
346,4126,RSCB2M0090724097860,"Duplicate serial (same product, no update needed)"
347,4126,RSCB2M0090724097897,"Duplicate serial (same product, no update needed)"
348,4126,SYS11911HK6ECB,"Duplicate serial (same product, no update needed)"
349,4129,RSCB2M0310824109062,"Duplicate serial (same product, no update needed)"
350,4129,(empty),Empty serial_number
351,4129,RSCB2M0310824109071,"Duplicate serial (same product, no update needed)"
352,4129,(empty),Empty serial_number
353,4129,RSCB2M0310824109040,"Duplicate serial (same product, no update needed)"
354,4129,(empty),Empty serial_number
355,4129,RSCB2M0310824109084,"Duplicate serial (same product, no update needed)"
356,4129,(empty),Empty serial_number
357,4129,RSCB2M0310824108983,"Duplicate serial (same product, no update needed)"
358,4129,(empty),Empty serial_number
359,4129,RSCB2M0310824109050,"Duplicate serial (same product, no update needed)"
360,4129,SYS11911HK6A6F,"Duplicate serial (same product, no update needed)"
361,4132,RSBB2M0290425042153,"Duplicate serial (same product, no update needed)"
362,4132,RSBB2M0290425042199,"Duplicate serial (same product, no update needed)"
363,4132,RSBB2M0290425042098,"Duplicate serial (same product, no update needed)"
364,4132,RSBB2M0290425042149,"Duplicate serial (same product, no update needed)"
365,4132,RSBB2M0290425042103,"Duplicate serial (same product, no update needed)"
366,4132,RSBB2M0290425042137,"Duplicate serial (same product, no update needed)"
367,4132,RSBB2M0290425041926,"Duplicate serial (same product, no update needed)"
368,4132,SYS1191161D1716,"Duplicate serial (same product, no update needed)"
369,4139,RSCB1M0301024101104,"Duplicate serial (same product, no update needed)"
370,4139,(empty),Empty serial_number
371,4139,RSCB1M0301024101097,"Duplicate serial (same product, no update needed)"
372,4139,RSCB2M0310824110068,"Duplicate serial (same product, no update needed)"
373,4139,RSCB1M0301024101083,"Duplicate serial (same product, no update needed)"
374,4139,RSCB1M0301024101010,"Duplicate serial (same product, no update needed)"
375,4139,RSCB1M0301024101098,"Duplicate serial (same product, no update needed)"
376,4139,SYS1191161C2127,"Duplicate serial (same product, no update needed)"
377,4141,AS2503081C2003,"Duplicate serial (same product, no update needed)"
378,4141,(empty),Empty serial_number
379,4141,AS2503081C3281,"Duplicate serial (same product, no update needed)"
380,4141,AS2503081C3325,"Duplicate serial (same product, no update needed)"
381,4141,AS2503081C2317,"Duplicate serial (same product, no update needed)"
382,4141,AS2503081C1982,"Duplicate serial (same product, no update needed)"
383,4141,AS2503081C1285,"Duplicate serial (same product, no update needed)"
384,4141,SYS1191161D5385,"Duplicate serial (same product, no update needed)"
386,4156,(empty),Empty serial_number
393,4156,SYS119116194092,"Duplicate serial (same product, no update needed)"
394,4162,AS2412252A0295,"Duplicate serial (same product, no update needed)"
395,4162,AS2412242A1464,"Duplicate serial (same product, no update needed)"
396,4162,AS2412252A0594,"Duplicate serial (same product, no update needed)"
397,4162,AS2412252A0207,"Duplicate serial (same product, no update needed)"
398,4162,AS2412252A1361,"Duplicate serial (same product, no update needed)"
399,4162,AS2412252A0111,"Duplicate serial (same product, no update needed)"
400,4162,SYS11911HK66VE,"Duplicate serial (same product, no update needed)"
401,4163,AS2412032C1958,"Duplicate serial (same product, no update needed)"
402,4163,(empty),Empty serial_number
403,4163,AS2412032C2028,"Duplicate serial (same product, no update needed)"
404,4163,AS2412032C1959,"Duplicate serial (same product, no update needed)"
405,4163,AS2412032C2356,"Duplicate serial (same product, no update needed)"
406,4163,AS2412032C2032,"Duplicate serial (same product, no update needed)"
407,4163,AS2412032C1943,"Duplicate serial (same product, no update needed)"
408,4163,SYS1191161A7584,"Duplicate serial (same product, no update needed)"
409,4164,AS2412242A1273,"Duplicate serial (same product, no update needed)"
410,4164,(empty),Empty serial_number
411,4164,AS2412252A1609,"Duplicate serial (same product, no update needed)"
412,4164,AS2412252A0919,"Duplicate serial (same product, no update needed)"
413,4164,AS2412252A0391,"Duplicate serial (same product, no update needed)"
414,4164,AS2412242A3016,"Duplicate serial (same product, no update needed)"
415,4164,AS2412252A0872,"Duplicate serial (same product, no update needed)"
416,4164,SYS119116196696,"Duplicate serial (same product, no update needed)"
417,4165,MS2412191B0314,"Duplicate serial (same product, no update needed)"
418,4165,(empty),Empty serial_number
419,4165,MS2412191B0156,"Duplicate serial (same product, no update needed)"
420,4165,MS2412181C5408,"Duplicate serial (same product, no update needed)"
421,4165,MS2412191B0312,"Duplicate serial (same product, no update needed)"
422,4165,MS2412191B0024,"Duplicate serial (same product, no update needed)"
423,4165,MS2412191B0219,"Duplicate serial (same product, no update needed)"
424,4165,A0VS332048DB194,Duplicate serial (already exists for this product)
425,4166,AS2412242A1336,"Duplicate serial (same product, no update needed)"
426,4166,AS2412242A1337,"Duplicate serial (same product, no update needed)"
427,4166,AS2412242A1280,"Duplicate serial (same product, no update needed)"
428,4166,AS2412242A1441,"Duplicate serial (same product, no update needed)"
429,4166,AS2412242A1377,"Duplicate serial (same product, no update needed)"
430,4166,AS2412242A1497,"Duplicate serial (same product, no update needed)"
431,4166,SYS11911HK679Q,"Duplicate serial (same product, no update needed)"
432,4167,AS2412162B0138,"Duplicate serial (same product, no update needed)"
433,4167,AS2412162B0147,"Duplicate serial (same product, no update needed)"
434,4167,AS2412172B2417,"Duplicate serial (same product, no update needed)"
435,4167,AS2412172B2320,"Duplicate serial (same product, no update needed)"
436,4167,AS2412162B3584,"Duplicate serial (same product, no update needed)"
437,4167,AS2412162B0196,"Duplicate serial (same product, no update needed)"
438,4167,SYS119116195988,"Duplicate serial (same product, no update needed)"
439,4170,MS2411192C4829,"Duplicate serial (same product, no update needed)"
440,4170,(empty),Empty serial_number
441,4170,MS2411192C5255,"Duplicate serial (same product, no update needed)"
442,4170,MS2411192C4860,"Duplicate serial (same product, no update needed)"
443,4170,MS2411192C4871,"Duplicate serial (same product, no update needed)"
444,4170,MS2411192C5108,"Duplicate serial (same product, no update needed)"
445,4170,MS2411192C4884,"Duplicate serial (same product, no update needed)"
446,4170,SYS1191161C2831,"Duplicate serial (same product, no update needed)"
449,4171,(empty),Empty serial_number
451,4171,(empty),Empty serial_number
453,4171,(empty),Empty serial_number
455,4171,(empty),Empty serial_number
457,4171,A0VS332048EB542,"Duplicate serial (same product, no update needed)"
458,4172,RSCB2M0310824110181,"Duplicate serial (same product, no update needed)"
